date,strategy,equity_usdt,daily_return,net_pnl_usdt
2024-12-08,permanent,11255.44693667585749495779998,0.000470786575293746156810679,5.29641983336344606560000
2024-12-09,permanent,11260.49164708179751665679998,0.000448201695971915621452190,5.04471040594002169900000
2024-12-10,permanent,11265.04259145088984065679998,0.000404151480390442796849125,4.55094436909232400000000
2024-12-11,permanent,11268.95688732369741865679998,0.000347472798352148373632228,3.91429587280757800000000
2024-12-12,permanent,11270.90620216288186465679998,0.000172980947453726159049456,1.94931483918444600000000
2024-12-13,permanent,11273.68222210506563465679998,0.000246299622443051918340524,2.77601994218377000000000
2024-12-14,permanent,11275.31857873738933865679998,0.000145148373005865793160436,1.63635663232370400000000
2024-12-15,permanent,11275.99226016613005346439998,0.000059748327644694690576239,0.67368142874071480760000
2024-12-16,permanent,11279.24404528473591233259998,0.000288381283312263471719091,3.25178511860585886820000
2024-12-17,permanent,11282.57109165302590433259998,0.000294970687302475442824728,3.32704636828999200000000
2024-12-18,permanent,11287.21227626531750779979998,0.000411358774040892549584272,4.64118461229160346720000
2024-12-19,permanent,11283.93173307013173479799998,-0.0002906424646663268324815493,-3.28054319518577300180000
2024-12-20,permanent,11286.97101553207535679799998,0.000269346051876254495780449,3.03928246194362200000000
2024-12-21,permanent,11289.11899646673724270839998,0.000190306232886222101602179,2.14798093466188591040000
2024-12-22,permanent,11289.82653280895613270839998,0.000062674185863426044738727,0.70753634221889000000000
2024-12-23,permanent,11291.48023574303925670839998,0.000146477266880705188558205,1.65370293408312400000000
2024-12-24,permanent,11293.42739971835248620819998,0.000172445413237274801652735,1.94716397531322949980000
2024-12-25,permanent,11294.39224892717758846819998,0.000085434578421176612567074,0.96484920882510226000000
2024-12-26,permanent,11295.03152443546237707879998,0.000056601142779108949850023,0.63927550828478861060000
2024-12-27,permanent,11297.26893126683317075479998,0.000198087701351734087882595,2.23740683137079367600000
2024-12-28,permanent,11298.49616002252868980599998,0.000108630569313879495531775,1.22722875569551905120000
2024-12-29,permanent,11300.27063548633866382999998,0.000157054128149248828904693,1.77447546380997402400000
2024-12-30,permanent,11302.31892248394065768259998,0.000181259994886294164306196,2.04828699760199385260000
2024-12-31,permanent,11303.46093070800705768259998,0.000101041939437275923063463,1.14200822406640000000000
2025-01-01,permanent,11304.24540306572578768259998,0.000069401076584213358091167,0.78447235771873000000000
2025-01-02,permanent,11306.81332898743993368259998,0.000227164735915740223673047,2.56792592171414600000000
2025-01-03,permanent,11309.55251300383359498019998,0.000242259594873754202949364,2.73918401639366129760000
2025-01-04,permanent,11311.66785054626696690619998,0.000187039897467307943768153,2.11533754243337192600000
2025-01-05,permanent,11313.33231265283702890619998,0.000147145595906944988809082,1.66446210657006200000000
2025-01-06,permanent,11315.78655440562986890619998,0.000216933586406545725268039,2.45424175279284000000000
2025-01-07,permanent,11317.72998954560466201359998,0.000171745475281888037349787,1.94343513997479310740000
2025-01-08,permanent,11319.77977737142130980679998,0.000181112981817915298029378,2.04978782581664779320000
2025-01-09,permanent,11321.31053937801021574459998,0.000135228956454519108235992,1.53076200658890593780000
2025-01-10,permanent,11322.57835772366415524659998,0.000111985122326976917645435,1.26781834565393950200000
2025-01-11,permanent,11322.82378154601747788479998,0.000021675612621034102709999,0.24542382235332263820000
2025-01-12,permanent,11325.29730264981588416139998,0.000218454437825815204694442,2.47352110379840627660000
2025-01-13,permanent,11325.90389676853953554539998,0.000053560988512127149710161,0.60659411872365138400000
2025-01-14,permanent,11328.05940285721488120779998,0.000190316473486089337399792,2.15550608867534566240000
2025-01-15,permanent,11329.01499002313208120779998,0.000084355769327637657034297,0.95558716591720000000000
2025-01-16,permanent,11329.50859308676797723559998,0.000043569812915825982797947,0.49360306363589602780000
2025-01-17,permanent,11331.08048805093095923559998,0.000138743437215109892154007,1.57189496416298200000000
2025-01-18,permanent,11332.28569632300729923559998,0.000106363049256183416837288,1.20520827207634000000000
2025-01-19,permanent,11334.18148623658168523559998,0.000167291044752738095056946,1.89578991357438600000000
2025-01-20,permanent,11335.09187836067836323559998,0.000080322705720055126962528,0.91039212409667800000000
2025-01-21,permanent,11338.80278629042293523559998,0.000327382254115549067138600,3.71090792974457200000000
